clave,anio,titulo,fecha_aprobacion,observaciones,estatus,pdfs
CD-LXVI-II-2P-128,II,"PROYECTO de Decreto por el que se reforma el artículo 15 Bis de la Ley del Instituto Mexicano de la Juventud, en materia de inclusión de juventudes mexicanas residentes en el exterior.",29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-128/01_minuta_128_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-128/02_dictamen_128_29abr26.pdf
CD-LXVI-II-2P-129,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley General de los Derechos de Niñas, Niños y Adolescentes, en materia de protección a entornos digitales, ciberacoso, violencia digital y protección de datos personales.",29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-129/01_minuta_129_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-129/02_dictamen_129_29abr26.pdf
CD-LXVI-II-2P-130,II,PROYECTO de Decreto por el que se reforma y adiciona el artículo 52 de la Ley de Migración.,29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-130/01_minuta_130_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-130/02_dictamen_130_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-130/01_modifica_130_29abr26.pdf
CD-LXVI-II-2P-131,II,"PROYECTO de Decreto por el que se adiciona una fracción XXIII Bis al artículo 3o. de la Ley General de Cambio Climático, en materia de hidrógeno renovable.",29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-131/01_minuta_131_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-131/02_dictamen_131_29abr26.pdf
CD-LXVI-II-2P-132,II,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 199 Octies y 199 Nonies del Código Penal Federal y 16 de la Ley General para Prevenir, Sancionar y Erradicar los Delitos en Materia de Trata de Personas y para la Protección y Asistencia a las Víctimas de estos Delitos, en materia de delitos cometidos mediante el uso de inteligencia artificial y programas de edición digital.",29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-132/01_minuta_132_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-132/02_dictamen_132_29abr26.pdf
CD-LXVI-II-2P-133,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley General para la Inclusión de las Personas con Discapacidad, en materia de armonización de la reforma constitucional para el apoyo a personas con discapacidad.",29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-133/01_minuta_133_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-133/02_dictamen_133_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-133/01_modifica_133_29abr26.pdf
CD-LXVI-II-2P-134,II,"PROYECTO de Decreto por el que se reforma la fracción VII del artículo 50 de la Ley General de los Derechos de Niñas, Niños y Adolescentes, en materia de lactancia materna.",29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-134/01_minuta_134_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-134/02_dictamen_134_29abr26.pdf
CD-LXVI-II-2P-135,II,PROYECTO de Decreto por el que se reforma la fracción XVI del artículo 30 de la Ley General de Educación.,29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-135/01_minuta_135_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-135/02_dictamen_135_29abr26.pdf
CD-LXVI-II-2P-136,II,PROYECTO de Decreto por el que se adicionan diversas disposiciones de la Ley Nacional del Registro de Detenciones.,29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-136/01_minuta_136_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-136/02_dictamen_136_29abr26.pdf
CD-LXVI-II-1E-137,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, en materia de reforma del Poder Judicial.",26-May-2026,Aprobado por el Senado el 28-May-2026. Pasa a las Legislaturas de los Estados y de la Ciudad de México. Declaratoria de la Comisión Permanente el 01-Jun-2026. Publicado en el DOF el 02-Jun-2026.,publicada_dof,iniclave/66/CD-LXVI-II-1E-137/01_minuta_137_26may26.pdf;iniclave/66/CD-LXVI-II-1E-137/02_dictamen_137_26may26.pdf;iniclave/66/CD-LXVI-II-1E-137/01_modifica_137_26may26.pdf;iniclave/66/CD-LXVI-II-1E-137/03_dof_137_02jun26.pdf
